Car unique id,first online date,car sold on date,manufacturer,model,fuel_type,buy price,last available online price,External market reference price
1282623426,2024-11-19,2024-12-05,Audi,A6,Diesel,19444,24401,25350
1284170431,2025-01-06,,Volkswagen,T-Roc,Benzin,18129,20876,22146
1284299121,2024-12-19,,MINI,Countryman,Benzin,4796,11272,9866
1284555408,2024-12-23,,Fiat,500,Benzin,11126,13704,15606
1280635362,2024-10-26,2024-12-10,Volkswagen,Golf VIII,Hybrid,19959,24506,25117
1281419794,2024-10-24,,Hyundai,i20,Benzin,10331,13862,14501
1281814106,2024-11-07,2024-12-02,Seat,Leon,Benzin,7140,12678,12327
1274205667,2024-10-02,2024-12-02,Volkswagen,Golf VII,Benzin,21277,22703,24071
1279084322,2024-11-01,,Fiat,Tipo,Benzin,3794,10010,9422
1279245240,2024-09-28,2024-12-12,Volkswagen,Tiguan,Benzin,17815,20161,21240
1280584861,2024-10-05,2024-11-12,Kia,Picanto,Benzin,8509,10015,9163
1279684847,2024-09-17,2024-12-05,Volkswagen,Golf VII,Benzin,15633,18466,19971
1280998970,2024-11-07,2024-12-23,Opel,Crossland X,Benzin,9060,14581,15517
1277842706,2024-09-18,2024-09-24,Opel,Astra,Benzin,6748,11711,10806
1281769561,2024-10-29,,Volkswagen,Polo,Benzin,7045,12033,12201
1279175147,2024-10-25,,BMW,2er,Benzin,17418,21630,20742
1279319933,2024-09-19,2024-10-04,Ford,C-Max,Benzin,11460,16064,14589
1275563010,2024-12-13,,BMW,3er,Benzin,22800,29513,31501
1282205930,2024-11-11,,Ford,Kuga,Diesel,16516,20301,21154
1282725169,2024-11-20,,Fiat,500X,Benzin,12328,16333,14746
1280221487,2024-10-04,,Smart,forfour,Benzin,5428,7903,7903
1280457496,2024-10-04,2024-10-11,Seat,Alhambra,Diesel,16716,24304,24200
1280284754,2024-11-06,,Mazda,CX-5,Diesel,13234,18849,20346
1278872112,2024-10-09,2025-01-02,BMW,2er,Diesel,10280,12007,13990
1283367705,2024-11-25,,Volkswagen,Golf VII,Diesel,10083,16744,16650
1284120378,2025-01-02,,Skoda,Fabia,Benzin,5116,9211,8858
